stress_level,burnout_level
55.96,Medium
82.22,High
61.77,Medium
54.98,Medium
27.9,Low
51.06,Medium
39.09,Medium
77.68,High
73.56,High
46.78,Medium
100,High
26.76,Low
100,High
81.94,High
48.65,Medium
34.26,Low
77.5,High
28.51,Low
85.2,High
51.03,Medium
64.45,Medium
19.79,Low
37.07,Medium
19.68,Low
27.68,Low
27.93,Low
46.3,Medium
43.95,Medium
56.11,Medium
89.65,High
38.84,Medium
35.43,Medium
30.34,Low
90.03,High
81.65,High
,Low
17.83,Low
89.57,High
83.11,High
76.09,High
99.13,High
31.36,Low
50.25,Medium
80.33,High
72.3,High
59.88,Medium
69.16,Medium
9.61,Low
77.59,
80.09,High
30.84,Low
33.53,Low
57.67,Medium
100,High
27.13,
37.93,Medium
30.59,Low
62.75,Medium
54.06,Medium
42.29,Medium
90.88,High
51.74,Medium
37.08,Medium
27.54,Low
65.02,Medium
74.56,High
85.01,High
53.35,Medium
67.97,Medium
28.27,Low
60.33,Medium
71.37,High
40.12,Medium
66.95,Medium
67.44,Medium
94.85,High
44.12,Medium
21.81,Low
11.49,Low
43.62,Medium
41.79,Medium
12.94,Low
32.7,Low
67.55,Medium
47.26,Medium
59.52,Medium
50.52,Medium
100,High
85.75,High
74.13,High
14.94,Low
73.75,High
85.14,High
31.25,Low
48.16,Medium
24.92,Low
62.08,Medium
59.72,Medium
,Medium
23.31,Low
34.76,Low
30.82,Low
84.17,High
38.74,Medium
100,High
94.11,High
92.27,High
66.48,Medium
47.32,Medium
46.08,Medium
100,High
61.98,Medium
23.62,Low
27.37,Low
69.62,Medium
66.59,Medium
35.54,Medium
45.81,Medium
52.52,Medium
80.74,High
13.41,Low
11.68,Low
49.9,Medium
18.4,Low
37.85,Medium
53.49,Medium
85.23,High
46.48,Medium
63.16,Medium
25.99,Low
70.82,High
54.65,Medium
37.59,Medium
77.57,High
53.43,Medium
81.9,High
79.14,High
13.55,Low
76.99,High
18.34,Low
88.81,High
56.48,Medium
53.37,Medium
76.6,High
60.52,Medium
72.74,High
57.58,Medium
70.27,High
83.65,High
49.5,Medium
72.19,High
41.8,Medium
35.94,Medium
51.86,Medium
19.28,Low
85.48,High
21.9,Low
100,High
69.56,Medium
31.65,Low
31.31,Low
91.36,High
63.48,Medium
37.83,Medium
92.55,High
69.2,Medium
79.65,High
63.34,Medium
57.44,Medium
30.01,Low
93.99,High
51.96,Medium
90.61,High
45.25,Medium
74.21,High
68.94,Medium
97.54,High
67.87,Medium
45.92,Medium
74.28,High
58.43,Medium
40.25,Medium
64.74,Medium
81.52,High
53.93,Medium
63.01,Medium
42.35,Medium
43.22,
69.95,Medium
37.09,Medium
75.52,High
85.54,High
64.71,Medium
46.82,Medium
68.6,Medium
21.16,Low
80.33,High
62.99,Medium
5.05,Low
55.71,Medium
50.56,Medium
47.09,Medium
47.17,Medium
63.74,Medium
23.32,Low
50.73,Medium
100,High
75.15,High
81.8,High
56.74,Medium
73.98,High
66.92,Medium
70.3,High
29.61,Low
62.75,Medium
37.02,Medium
75.53,High
27.66,Low
98.03,High
20.09,Low
33.76,Low
34.87,Low
71.24,High
21.1,Low
40.88,Medium
41.71,Medium
27.55,Low
73.59,High
81.21,High
33.42,Low
54.86,Medium
45.83,Medium
55.98,Medium
77.97,High
32,Low
73.98,High
64.73,Medium
80.22,High
19.83,Low
22.61,Low
22.87,Low
59.74,Medium
64.45,Medium
63.64,Medium
99.68,High
80.57,High
62.38,Medium
30.72,Low
66.73,Medium
54.91,Medium
33.08,Low
100,High
100,High
39.64,Medium
49.05,
71.94,High
75.7,High
,High
49.79,Medium
95.2,High
43.63,Medium
,Medium
84.06,High
19.31,Low
59.79,Medium
19.62,Low
54.14,Medium
76.57,High
15.41,Low
92.33,High
66.97,Medium
46.19,Medium
48.28,Medium
49.11,Medium
34.63,Low
60.88,Medium
0,Low
64.9,Medium
39.47,Medium
88.32,High
58.65,Medium
16.42,Low
36.26,Medium
67.96,Medium
85.9,High
69.53,Medium
72.17,High
67.24,Medium
72.88,High
37.06,Medium
42.65,Medium
28.35,Low
88.96,High
49.67,Medium
47.98,Medium
84.89,High
66.82,Medium
70.5,High
55.7,Medium
10.24,Low
30.85,Low
71.77,High
44.47,Medium
95.53,High
26.78,Low
52.01,Medium
45.53,Medium
68.33,Medium
57.55,Medium
9.45,Low
50.4,Medium
40.73,Medium
35.57,Medium
59.17,Medium
66.29,Medium
42.8,Medium
11.56,Low
51.94,Medium
99.69,High
46.86,Medium
30.11,Low
40.05,Medium
69.17,Medium
100,High
75.55,High
68.85,Medium
79.34,High
51.25,Medium
33.93,Low
41.33,Medium
36.72,Medium
81.09,High
36.22,Medium
87.89,High
36.98,Medium
39.9,Medium
32.91,Low
34.26,Low
60.52,
55.54,Medium
47.11,Medium
63.2,Medium
61.71,Medium
14.01,Low
65.33,Medium
51.79,Medium
37.3,Medium
50.44,Medium
35.78,Medium
47.65,Medium
48.91,Medium
55.69,Medium
,Medium
19.21,Low
49.99,Medium
43.76,Medium
33.84,Low
64.23,Medium
4.31,Low
6.95,Low
52.52,Medium
99.08,High
65.06,Medium
31.91,Low
45.25,Medium
51.79,Medium
31.11,Low
91.64,High
44.54,Medium
44.81,Medium
77.65,High
59.37,Medium
88.79,High
36.48,Medium
84.27,High
65.69,Medium
36.15,Medium
54.62,Medium
71.21,High
54.29,Medium
77.97,High
